Chantier;Ancien nom;Nouveau nom;Alt text suggere (remplacer [VILLE]);Statut
01;01-mars2025-maison-rose-ravalement-1.webp;ravalement-facade-maison-rose-richard-toitures-01-1.webp;Maison rose apres ravalement de facade - Richard Toitures, couvreur a [VILLE];OK
01;01-mars2025-maison-rose-ravalement-2.webp;ravalement-facade-maison-rose-richard-toitures-01-2.webp;Maison rose apres ravalement de facade - Richard Toitures, couvreur a [VILLE];OK
01;01-mars2025-maison-rose-ravalement-3.webp;ravalement-facade-maison-rose-richard-toitures-01-3.webp;Maison rose apres ravalement de facade - Richard Toitures, couvreur a [VILLE];OK
02;02-avril2025-ferme-pierre-fourgon.webp;renovation-toiture-ferme-pierre-richard-toitures-02.webp;Ferme en pierre avant renovation de toiture - Richard Toitures, couvreur a [VILLE];OK
03;03-avril2025-toiture-tuile-faitage-blanc-1.webp;couverture-tuile-refection-faitage-richard-toitures-03-1.webp;Toiture en tuiles avec faitage refait - Richard Toitures, couvreur a [VILLE];OK
03;03-avril2025-toiture-tuile-faitage-blanc-2.webp;couverture-tuile-refection-faitage-richard-toitures-03-2.webp;Toiture en tuiles avec faitage refait - Richard Toitures, couvreur a [VILLE];OK
04;04-mai2025-pignon-crepi-creme-pac-1.webp;ravalement-pignon-crepi-richard-toitures-04-1.webp;Pignon en crepi creme apres ravalement - Richard Toitures, couvreur a [VILLE];OK
04;04-mai2025-pignon-crepi-creme-pac-2.webp;ravalement-pignon-crepi-richard-toitures-04-2.webp;Pignon en crepi creme apres ravalement - Richard Toitures, couvreur a [VILLE];OK
04;04-mai2025-pignon-crepi-creme-pac-3.webp;ravalement-pignon-crepi-richard-toitures-04-3.webp;Pignon en crepi creme apres ravalement - Richard Toitures, couvreur a [VILLE];OK
04;04-mai2025-pignon-crepi-creme-pac-4.webp;ravalement-pignon-crepi-richard-toitures-04-4.webp;Pignon en crepi creme apres ravalement - Richard Toitures, couvreur a [VILLE];OK
05;05-mai2025-ferme-portes-bleues.webp;renovation-toiture-ferme-pierre-richard-toitures-05.webp;Ferme en pierre aux portes bleues - Richard Toitures, couvreur a [VILLE];OK
06;06-sept2025-maison-crepi-blanc-volets-bois-1.webp;ravalement-facade-crepi-blanc-richard-toitures-06-1.webp;Maison en crepi blanc a volets bois - Richard Toitures, couvreur a [VILLE];OK
06;06-sept2025-maison-crepi-blanc-volets-bois-2.webp;ravalement-facade-crepi-blanc-richard-toitures-06-2.webp;Maison en crepi blanc a volets bois - Richard Toitures, couvreur a [VILLE];OK
07;07-sept2025-pignon-ravalement-facade-1.webp;ravalement-facade-pignon-richard-toitures-07-1.webp;Pignon de maison apres ravalement de facade - Richard Toitures, couvreur a [VILLE];OK
07;07-sept2025-pignon-ravalement-facade-2.webp;ravalement-facade-pignon-richard-toitures-07-2.webp;Pignon de maison apres ravalement de facade - Richard Toitures, couvreur a [VILLE];OK
08;08-oct2025-escalier-exterieur-cote-or-1.webp;maconnerie-escalier-exterieur-richard-toitures-08-1.webp;Escalier exterieur en maconnerie - Richard Toitures, couvreur a [VILLE];OK
08;08-oct2025-escalier-exterieur-cote-or-2.webp;maconnerie-escalier-exterieur-richard-toitures-08-2.webp;Escalier exterieur en maconnerie - Richard Toitures, couvreur a [VILLE];OK
09;09-dec2025-souche-cheminee-ville-1.webp;renovation-souche-de-cheminee-richard-toitures-09-1.webp;Souche de cheminee renovee en centre-ville - Richard Toitures, couvreur a [VILLE];OK
09;09-dec2025-souche-cheminee-ville-2.webp;renovation-souche-de-cheminee-richard-toitures-09-2.webp;Souche de cheminee renovee en centre-ville - Richard Toitures, couvreur a [VILLE];OK
10;10-jan-fev2026-toit-ardoise-immeuble-tour-1.webp;couverture-ardoise-immeuble-richard-toitures-10-1.webp;Toit en ardoise d'un immeuble - Richard Toitures, couvreur a [VILLE];OK
10;10-jan-fev2026-toit-ardoise-immeuble-tour-2.webp;couverture-ardoise-immeuble-richard-toitures-10-2.webp;Toit en ardoise d'un immeuble - Richard Toitures, couvreur a [VILLE];OK
10;10-jan-fev2026-toit-ardoise-immeuble-tour-3.webp;couverture-ardoise-immeuble-richard-toitures-10-3.webp;Toit en ardoise d'un immeuble - Richard Toitures, couvreur a [VILLE];OK
10;10-jan-fev2026-toit-ardoise-immeuble-tour-4.webp;couverture-ardoise-immeuble-richard-toitures-10-4.webp;Toit en ardoise d'un immeuble - Richard Toitures, couvreur a [VILLE];OK
10;10-jan-fev2026-toit-ardoise-immeuble-tour-5.webp;couverture-ardoise-immeuble-richard-toitures-10-5.webp;Toit en ardoise d'un immeuble - Richard Toitures, couvreur a [VILLE];OK
11;11-jan-fev2026-maison-n14-gouttieres-1.webp;zinguerie-pose-gouttieres-richard-toitures-11-1.webp;Pose de gouttieres en zinguerie - Richard Toitures, couvreur a [VILLE];OK
11;11-jan-fev2026-maison-n14-gouttieres-2.webp;zinguerie-pose-gouttieres-richard-toitures-11-2.webp;Pose de gouttieres en zinguerie - Richard Toitures, couvreur a [VILLE];OK
11;11-jan-fev2026-maison-n14-gouttieres-3.webp;zinguerie-pose-gouttieres-richard-toitures-11-3.webp;Pose de gouttieres en zinguerie - Richard Toitures, couvreur a [VILLE];OK
11;11-jan-fev2026-maison-n14-gouttieres-4.webp;zinguerie-pose-gouttieres-richard-toitures-11-4.webp;Pose de gouttieres en zinguerie - Richard Toitures, couvreur a [VILLE];OK
12;12-mars-avr2026-demoussage-traitement-toiture-1.webp;demoussage-traitement-toiture-richard-toitures-12-1.webp;Demoussage et traitement de toiture - Richard Toitures, couvreur a [VILLE];OK
12;12-mars-avr2026-demoussage-traitement-toiture-2.webp;demoussage-traitement-toiture-richard-toitures-12-2.webp;Demoussage et traitement de toiture - Richard Toitures, couvreur a [VILLE];OK
12;12-mars-avr2026-demoussage-traitement-toiture-3.webp;demoussage-traitement-toiture-richard-toitures-12-3.webp;Demoussage et traitement de toiture - Richard Toitures, couvreur a [VILLE];OK
12;12-mars-avr2026-demoussage-traitement-toiture-4.webp;demoussage-traitement-toiture-richard-toitures-12-4.webp;Demoussage et traitement de toiture - Richard Toitures, couvreur a [VILLE];OK
12;12-mars-avr2026-demoussage-traitement-toiture-5.webp;demoussage-traitement-toiture-richard-toitures-12-5.webp;Demoussage et traitement de toiture - Richard Toitures, couvreur a [VILLE];OK
13;13-avril2026-toiture-terrasse-village-clocher-1.webp;toiture-terrasse-etancheite-richard-toitures-13-1.webp;Toiture terrasse en cours d'etancheite - Richard Toitures, couvreur a [VILLE];OK
13;13-avril2026-toiture-terrasse-village-clocher-2.webp;toiture-terrasse-etancheite-richard-toitures-13-2.webp;Toiture terrasse en cours d'etancheite - Richard Toitures, couvreur a [VILLE];OK
13;13-avril2026-toiture-terrasse-village-clocher-3.webp;toiture-terrasse-etancheite-richard-toitures-13-3.webp;Toiture terrasse en cours d'etancheite - Richard Toitures, couvreur a [VILLE];OK
13;13-avril2026-toiture-terrasse-village-clocher-4.webp;toiture-terrasse-etancheite-richard-toitures-13-4.webp;Toiture terrasse en cours d'etancheite - Richard Toitures, couvreur a [VILLE];OK
13;13-avril2026-toiture-terrasse-village-clocher-5.webp;toiture-terrasse-etancheite-richard-toitures-13-5.webp;Toiture terrasse en cours d'etancheite - Richard Toitures, couvreur a [VILLE];OK
14;14-juin2026-garage-crepi-beige-1.webp;ravalement-crepi-garage-richard-toitures-14-1.webp;Garage apres ravalement en crepi beige - Richard Toitures, couvreur a [VILLE];OK
14;14-juin2026-garage-crepi-beige-2.webp;ravalement-crepi-garage-richard-toitures-14-2.webp;Garage apres ravalement en crepi beige - Richard Toitures, couvreur a [VILLE];OK
